,unique,IsZoonotic,vFamily,vSubfamily,vGenus,virus_name_dc,Humany_to_Human,Hhsource,Hhnotes
1425,1425,1,Flaviviridae,NA,Flavivirus,kyasanur forest disease virus,no,,
1452,1452,1,Bunyaviridae,NA,Hantavirus,laguna negra virus,no,da Rosa et al. 2012 EID,
1457,1457,1,Filoviridae,NA,Marburgvirus,lake victoria marburgvirus,no,,
1467,1467,1,Arenaviridae,NA,Arenavirus,lassa virus,yes,,
1479,1479,1,Reoviridae,Sedoreovirinae,Orbivirus,lebombo virus,NA,,
1482,1482,1,Picornaviridae,NA,Parechovirus,ljungan virus,NA,,
1491,1491,1,Flaviviridae,NA,Flavivirus,louping ill virus,no,,
1506,1506,1,Arenaviridae,NA,Arenavirus,lymphocytic choriomeningitis virus,no,,
1524,1524,1,Arenaviridae,NA,Arenavirus,machupo virus,yes,,
1540,1540,1,Bunyaviridae,NA,Orthobunyavirus,marituba virus,no,,
1556,1556,1,Togaviridae,NA,Alphavirus,mayaro virus,no,,
1574,1574,1,Paramyxoviridae,Paramyxovirinae,Morbillivirus,measles virus,yes,,
1586,1586,1,Paramyxoviridae,Paramyxovirinae,Rubulavirus,menangle virus,no,,
1604,1604,1,Flaviviridae,NA,Flavivirus,modoc virus,NA,,
1612,1612,1,Rhabdoviridae,NA,Lyssavirus,mokola virus,no,,
1619,1619,1,Poxviridae,Chordopoxvirinae,Orthopoxvirus,monkeypox virus,yes,,
1642,1642,1,Paramyxoviridae,Paramyxovirinae,Rubulavirus,mumps virus,yes,,
1676,1676,1,Paramyxoviridae,Pneumovirinae,Pneumovirus,murine pneumonia virus,NA,,
1687,1687,1,Flaviviridae,NA,Flavivirus,murray valley encephalitis virus,no,,
1701,1701,1,Togaviridae,NA,Alphavirus,ndumu virus,NA,,
1705,1705,1,Bunyaviridae,NA,Hantavirus,new york virus,no,,
1708,1708,1,Paramyxoviridae,Paramyxovirinae,Henipavirus,nipah virus,yes,,
1731,1731,1,Caliciviridae,NA,Norovirus,norwalk virus,yes,Marks et al. 2003 Epidemiology & Infection; Marks et al. 2000 Epidemiology & Infection,airborne spread
1735,1735,1,Togaviridae,NA,Alphavirus,o'nyong nyong virus,yes,,
1745,1745,1,Flaviviridae,NA,Flavivirus,omsk hemorrhagic fever virus,NA,,
1750,1750,1,Poxviridae,Chordopoxvirinae,Parapoxvirus,orf virus,no,,
1755,1755,1,Bunyaviridae,NA,Orthobunyavirus,oriboca virus,NA,,
1763,1763,1,Bunyaviridae,NA,Orthobunyavirus,oropouche virus,no,,
1766,1766,1,Reoviridae,Sedoreovirinae,Orbivirus,orungo virus,no,,
1792,1792,1,Reoviridae,Sedoreovirinae,Orbivirus,palyam virus,NA,,
