MSW05_binomial
Cynopterus sphinx
Myotis horsfieldii
Myotis montivagus
Pteropus giganteus
Rousettus leschenaultii
Cynopterus brachyotis
Eonycteris spelaea
Falsistrellus affinis
Harpiocephalus harpia
Hesperoptenus tickelli
Hipposideros ater
Hipposideros fulvus
Hipposideros lankadiva
Hipposideros pomona
Hipposideros speoris
Kerivoula picta
Latidens salimalii
Megaderma lyra
Megaderma spasma
Murina cyclotis
Pipistrellus ceylonicus
Pipistrellus coromandra
Pipistrellus pipistrellus
Pipistrellus tenuis
Rhinolophus beddomei
Rhinolophus lepidus
Rhinolophus luctus
Rhinolophus pusillus
Rhinolophus rouxii
Rhinopoma hardwickii
Saccolaimus saccolaimus
Scotophilus heathii
Scotophilus kuhlii
Scotozous dormeri
Tadarida aegyptiaca
Taphozous longimanus
Taphozous melanopogon
Taphozous theobaldi
Tylonycteris pachypus
Hipposideros galeritus
Myotis_peytoni
Miniopterus_fuliginosus
