ID,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies,TaxonLevel,Extinct?,OriginalName,ValidName,Author,Date,ActualDate,CitationName,CitationVolume,CitationIssue,CitationPages,CitationType,TypeSpecies,CommonName,TypeLocality,Distribution,Status,Synonyms,Comments,File,SortOrder,DisplayOrder
13800001,CHIROPTERA,,,,,,,,,,,ORDER,FALSE,,YES,Blumenbach,1779,,,,,,,,,,,,,"As is the case for all species in this book, the conservation status for each bat species is reported below based upon listings of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES), the United States Endangered Species Act (U.S. ESA), and the 2003 International Union for Conservation of Nature and Natural Resources Redlist (here cited ""IUCN 2003""). In addition, two IUCN/SSC Action Plans provide more detailed information. The Action Plan for Old World Fruit Bats (Pteropodidae; cited below as ""IUCN/SSC Action Plan, 1992"", compiled by Mickleburgh et al., 1992) is over a decade old, but provides detailed information on the conservation status of subspecies as well as species of pteropodids, including the status of taxa not thought to be at risk. This publication also summarizes considerable information on ecology and population biology of pteropodids. The conservation status of other families of bats was assessed more recently in the Glob... [truncated]",38,38-00001,38-0001
13800002,CHIROPTERA,,,,Pteropodidae,,,,,,,FAMILY,FALSE,,YES,Gray,1821,,London Med. Repos.,15,,299,,,,,,,"Cephalotidae Gray, 1821; Harpyidae H. Smith, 1842.","Various workers have recognized between two and six subfamilies of Pteropodidae including: Cynopterinae Andersen, 1912, Epomophorinae K. Andersen, 1912, Harpionycterinae Miller, 1907, Nyctimeninae Miller, 1907, Macroglossinae Gray, 1866, Rousettinae Andersen, 1912, and Pteropodinae Gray, 1821 (Bergmans, 1997; Corbet and Hill, 1980, 1992; Hill and Smith, 1984; Koopman, 1993, 1994; McKenna and Bell, 1997). Recent phylogenetic studies agree that Macroglossinae and Pteropodinae sensu Koopman (1993, 1994) and McKenna and Bell (1997) are not monophyletic (Alvarez et al., 1999; Giannini and Simmons, 2003; Hollar and Springer, 1997; Hood, 1989; Juste et al., 1997; Kirsch et al., 1995; Romagnoli and Springer, 2000; Springer et al., 1995). Monophyly of cynopterines and empomophorines has also been questioned (Alvarez et al., 1999; Hollar and Springer, 1997; Kirsch et al., 1995; Romagnoli and Springer, 2000). Instead of supporting traditional taxonomic groupings, phylogenetic studies based on DNA... [truncated]",38,38-00002,38-0001-0000-0000-0000-0002
13800003,CHIROPTERA,,,,Pteropodidae,,,Acerodon,,,,GENUS,FALSE,,YES,Jourdan,1837,,L'Echo du Monde Savant,4,No. 275,156,,"<i>Pteropus jubatus</i> Eschscholtz, 1831.",,,,,,Very closely related to and possibly congeneric with <i>Pteropus</i>; see Musser et al. (1982<i>a</i>) and Corbet and Hill (1992).,38,38-00003,38-0001-0000-0000-0000-0002-0000-0000-0003
13800004,CHIROPTERA,,,,Pteropodidae,,,Acerodon,,celebensis,,SPECIES,FALSE,,YES,Peters,1867,,Monatsb. K. Preuss. Akad. Wiss. Berlin,1867,,333,,,Sulawesi Fruit Bat,"Indonesia, Sulawesi.","Sulawesi, Saleyer Isl, Sangihe Isls, Sula Isls (Indonesia).",CITES – Appendix II. IUCN/SSC Action Plan (1992) – No data. IUCN 2003 – Lower Risk (nt).,"<i>arquatus</i>  Miller and Hollister, 1921.","Includes <i>arquatus</i> and Sulawesi specimens formerly in <i>Pteropus</i> <i>argentatus</i> (see Musser et al., 1982<i>a</i>). Also see Flannery (1995<i>b</i>).",38,38-00004,38-0001-0000-0000-0000-0002-0000-0000-0003-0000-0004
13800005,CHIROPTERA,,,,Pteropodidae,,,Acerodon,,humilis,,SPECIES,FALSE,,YES,K. Andersen,1909,,"Ann. Mag. Nat. Hist., ser. 7",3,,24-25,,,Talaud Fruit Bat,"Indonesia, Talaud Isls, Lirong.",Talaud Isls (Indonesia).,CITES – Appendix II. IUCN/SSC Action Plan (1992) – No Data: Limited Distribution. IUCN 2003 – Vulnerable.,,"Previously known only from the holotype, which Flannery (1995<i>b</i>) suggested might be a chimera consisting of a mismatched skull from an individual of <i>celebensis</i> and a skin of a <i>Pteropus hypomelanus</i> However, Feiler (1990) described two additional museum specimens, and a living population of this taxon has recently been rediscovered (Riley, 2001). It appears to represent a distinct species.",38,38-00005,38-0001-0000-0000-0000-0002-0000-0000-0003-0000-0005
13800006,CHIROPTERA,,,,Pteropodidae,,,Acerodon,,jubatus,,SPECIES,FALSE,,YES,Eschscholtz,1831,,Zool. Atlas,Part 4,,1,,,Golden-capped Fruit Bat,"Philippines, Luzon, Manila.",Philippines except Palawan region.,"CITES – Appendix I (and possibly extinct) as <i>A</i>. <i>lucifer</i>, Appendix I as <i>A</i>. <i>jubatus</i>; otherwise Appendix II; IUCN/SSC Action Plan (1992) and IUCN 2003 – Endangered as <i>A</i>. <i>jubatus</i>, <i>A</i>. <i>lucifer</i> listed as Extinct.","<i>aurinuchalis</i>  Elliot, 1896; <i>pyrrhocephalus</i> Meyen, 1833; <b><i>lucifer</i></b> Elliot, 1896; <b><i>mindanensis</i></b> K. Andersen, 1909.",Includes <i>lucifer</i>; see Ingle and Heaney (1992) and Heaney et al. (1998).,38,38-00006,38-0001-0000-0000-0000-0002-0000-0000-0003-0000-0006
13800007,CHIROPTERA,,,,Pteropodidae,,,Acerodon,,jubatus,jubatus,SUBSPECIES,FALSE,,YES,Eschscholtz,1831,,Zool. Atlas,Part 4,,1,,,,"Philippines, Luzon, Manila.",,,,,38,38-00007,38-0001-0000-0000-0000-0002-0000-0000-0003-0000-0006-0007
13800008,CHIROPTERA,,,,Pteropodidae,,,Acerodon,,jubatus,lucifer,SUBSPECIES,FALSE,,YES,Elliot,1896,,,,,,,,,,,,,,38,38-00008,38-0001-0000-0000-0000-0002-0000-0000-0003-0000-0006-0008
13800009,CHIROPTERA,,,,Pteropodidae,,,Acerodon,,jubatus,mindanensis,SUBSPECIES,FALSE,,YES,K. Andersen,1909,,,,,,,,,,,,,,38,38-00009,38-0001-0000-0000-0000-0002-0000-0000-0003-0000-0006-0009
13800010,CHIROPTERA,,,,Pteropodidae,,,Acerodon,,leucotis,,SPECIES,FALSE,,YES,Sanborn,1950,,Proc. Biol. Soc. Wash.,63,,189,,,Palawan Fruit Bat,"Philippines, Calamianes Isls, Busuanga Isl, Singay.","Balabac, Palawan, Busuanga Isl (Philippines).",CITES – Appendix II. IUCN/SSC Action Plan (1992) – No Data. IUCN 2003 – Vulnerable.,"<b><i>obscurus</i> </b> Sanborn, 1950.","Formerly included in <i>Pteropus</i> (see Musser et al., 1982<i>a</i>).",38,38-00010,38-0001-0000-0000-0000-0002-0000-0000-0003-0000-0010
13800011,CHIROPTERA,,,,Pteropodidae,,,Acerodon,,leucotis,leucotis,SUBSPECIES,FALSE,,YES,Sanborn,1950,,Proc. Biol. Soc. Wash.,63,,189,,,,"Philippines, Calamianes Isls, Busuanga Isl, Singay.",,,<b><i>&nbsp;</i> </b>,,38,38-00011,38-0001-0000-0000-0000-0002-0000-0000-0003-0000-0010-0011
13800012,CHIROPTERA,,,,Pteropodidae,,,Acerodon,,leucotis,obscurus,SUBSPECIES,FALSE,,YES,Sanborn,1950,,,,,,,,,,,,,,38,38-00012,38-0001-0000-0000-0000-0002-0000-0000-0003-0000-0010-0012
13800013,CHIROPTERA,,,,Pteropodidae,,,Acerodon,,mackloti,,SPECIES,FALSE,,YES,Temminck,1837,,Monogr. Mamm.,2,,69,,,Sunda Fruit Bat,"Indonesia, Timor.","Lombok, Sumbawa, Flores, Alor Isl, Sumba, and Timor (Indonesia).",CITES – Appendix II. IUCN/SSC Action Plan (1992) – Not Threatened; IUCN 2003 – Lower Risk (lc).,"<i>ochraphaeus</i>  Muller and Jentink, 1887; <b><i>alorensis</i></b> K. Andersen, 1909; <b><i>floresii</i></b> Gray, 1871; <i>floresianus</i> Heude, 1896; <b><i>gilvus</i></b> K. Andersen, 1909; <b><i>prajae</i></b> Sody, 1936.","The subspecies nomenclature of this taxon is in need of revision (Helgen and Wilson, 2002). This name is sometimes spelled <i>macklotii</i>.",38,38-00013,38-0001-0000-0000-0000-0002-0000-0000-0003-0000-0013
13800014,CHIROPTERA,,,,Pteropodidae,,,Acerodon,,mackloti,mackloti,SUBSPECIES,FALSE,,YES,Temminck,1837,,Monogr. Mamm.,2,,69,,,,"Indonesia, Timor.",,,,,38,38-00014,38-0001-0000-0000-0000-0002-0000-0000-0003-0000-0013-0014
13800015,CHIROPTERA,,,,Pteropodidae,,,Acerodon,,mackloti,alorensis,SUBSPECIES,FALSE,,YES,K. Andersen,1909,,,,,,,,,,,,,,38,38-00015,38-0001-0000-0000-0000-0002-0000-0000-0003-0000-0013-0015
13800016,CHIROPTERA,,,,Pteropodidae,,,Acerodon,,mackloti,floresii,SUBSPECIES,FALSE,,YES,Gray,1871,,,,,,,,,,,,,,38,38-00016,38-0001-0000-0000-0000-0002-0000-0000-0003-0000-0013-0016
13800017,CHIROPTERA,,,,Pteropodidae,,,Acerodon,,mackloti,gilvus,SUBSPECIES,FALSE,,YES,K. Andersen,1909,,,,,,,,,,,,,,38,38-00017,38-0001-0000-0000-0000-0002-0000-0000-0003-0000-0013-0017
13800018,CHIROPTERA,,,,Pteropodidae,,,Acerodon,,mackloti,prajae,SUBSPECIES,FALSE,,YES,Sody,1936,,,,,,,,,,,,,,38,38-00018,38-0001-0000-0000-0000-0002-0000-0000-0003-0000-0013-0018
13800019,CHIROPTERA,,,,Pteropodidae,,,Aethalops,,,,GENUS,FALSE,,YES,Thomas,1923,,Proc. Zool. Soc. Lond.,1923,,178,,"<i>Aethalodes alecto</i> Thomas, 1923.",,,,,"<i>Aethalodes</i>  Thomas, 1923 [not <i>Atehalodes</i> Gahan, 1888, an insect).",,38,38-00019,38-0001-0000-0000-0000-0002-0000-0000-0019
13800020,CHIROPTERA,,,,Pteropodidae,,,Aethalops,,aequalis,,SPECIES,FALSE,,YES,G. M. Allen,1938,,J. Mammal.,19,,497,,,Borneo Fruit Bat,"Malaysia (N Borneo), Sabah, Mt. Kinabalu, 5,500 ft. (1,833 m).","Brunei, Sabah, and Sarawak (Borneo).",IUCN/SSC Action Plan (1992) – Indeterminate as <i>A</i>. <i>alecto</i> <i>aequalis</i>. IUCN 2003 – Not listed.,,"Considered a subspecies of <i>alecto</i> by many authors, but see Kitchener et al. (1990) and Kitchener et al. (1993<i>a</i>).",38,38-00020,38-0001-0000-0000-0000-0002-0000-0000-0019-0000-0020
13800021,CHIROPTERA,,,,Pteropodidae,,,Aethalops,,alecto,,SPECIES,FALSE,,YES,Thomas,1923,,"Ann. Mag. Nat. Hist., ser. 9",11,,251,,,Pygmy Fruit Bat,"Indonesia, Sumatra, Indrapura Peak, 7,300 ft. (2,225 m).","W Malaysia, Sumatra, Java, Bali, and Lombok.",IUCN/SSC Action Plan (1992) – Indeterminate. IUCN 2003 – Lower Risk (nt).,"<b><i>boeadii</i> </b> Kitchener, 1993 in Kitchener et al., 1993<i>a</i>; <b><i>ocypete</i></b> Boeadi and Hill, 1986.",Reviewed by Boeadi and Hill (1986) and Kitchener et al. (1993<i>a</i>). Does not include <i>aequalis</i>; see Kitchener et al. (1993<i>a</i>).,38,38-00021,38-0001-0000-0000-0000-0002-0000-0000-0019-0000-0021
13800022,CHIROPTERA,,,,Pteropodidae,,,Aethalops,,alecto,alecto,SUBSPECIES,FALSE,,YES,Thomas,1923,,"Ann. Mag. Nat. Hist., ser. 9",11,,251,,,,"Indonesia, Sumatra, Indrapura Peak, 7,300 ft. (2,225 m).",,,<b><i>&nbsp;</i> </b>,,38,38-00022,38-0001-0000-0000-0000-0002-0000-0000-0019-0000-0021-0022
13800023,CHIROPTERA,,,,Pteropodidae,,,Aethalops,,alecto,boeadii,SUBSPECIES,FALSE,,YES,Kitchener,1993,,"in Kitchener et al., 1993<i>a</i>",,,,,,,,,,,,38,38-00023,38-0001-0000-0000-0000-0002-0000-0000-0019-0000-0021-0023
13800024,CHIROPTERA,,,,Pteropodidae,,,Aethalops,,alecto,ocypete,SUBSPECIES,FALSE,,YES,Boeadi and Hill,1986,,,,,,,,,,,,,,38,38-00024,38-0001-0000-0000-0000-0002-0000-0000-0019-0000-0021-0024
13800025,CHIROPTERA,,,,Pteropodidae,,,Alionycteris,,,,GENUS,FALSE,,YES,Kock,1969,,Senckenberg. Biol.,50,,319,,"<i>Alionycteris paucidentata</i> Kock, 1969.",,,,,,,38,38-00025,38-0001-0000-0000-0000-0002-0000-0000-0025
13800026,CHIROPTERA,,,,Pteropodidae,,,Alionycteris,,paucidentata,,SPECIES,FALSE,,YES,Kock,1969,,Senckenberg. Biol.,50,,322,,,Mindanao Pygmy Fruit Bat,"Philippines, Mindanao, Bukidion Prov., Mt. Katanglad.",Known only from the type locality.,IUCN/SSC Bat Action Plan (1992) – Rare: Limited Distribution. IUCN 2003 – Vulnerable.,,,38,38-00026,38-0001-0000-0000-0000-0002-0000-0000-0025-0000-0026
13800027,CHIROPTERA,,,,Pteropodidae,,,Aproteles,,,,GENUS,FALSE,,YES,Menzies,1977,,Aust. J. Zool.,25,,330,,"<i>Aproteles bulmerae</i> Menzies, 1977.",,,,,,,38,38-00027,38-0001-0000-0000-0000-0002-0000-0000-0027
13800028,CHIROPTERA,,,,Pteropodidae,,,Aproteles,,bulmerae,,SPECIES,FALSE,,YES,Menzies,1977,,Aust. J. Zool.,25,,331,,,Bulmer's Fruit Bat,"Papua New Guinea, Chimbu Prov., 2 km SE Chuave Govt. Sta., 1,530 m.",Mainland Papua New Guinea.,U.S. ESA – Endangered. IUCN/SSC Action Plan (1992) – Endangered: Limited Distribution. IUCN 2003 – Critically Endangered.,,"Originally described from fossil material, but since found living (Flannery and Seri, 1993; Hyndman and Menzies, 1980). See also Flannery (1995<i>a</i>) and Bonaccorso (1998).",38,38-00028,38-0001-0000-0000-0000-0002-0000-0000-0027-0000-0028
13800029,CHIROPTERA,,,,Pteropodidae,,,Balionycteris,,,,GENUS,FALSE,,YES,Matschie,1899,,Flederm. Berliner Mus. Naturk.,,,"72, 80",,"<i>Cynopterus maculatus</i> Thomas, 1893.",,,,,,,38,38-00029,38-0001-0000-0000-0000-0002-0000-0000-0029
13800030,CHIROPTERA,,,,Pteropodidae,,,Balionycteris,,maculata,,SPECIES,FALSE,,YES,Thomas,1893,,"Ann. Mag. Nat. Hist., ser. 6",11,,341,,,Spotted-winged Fruit Bat,"Malaysia (N Borneo), Sarawak.","Thailand; W Malaysia; Borneo; Sumatra; Durian and Galang Isls (Riau Arch., Indonesia).",IUCN/SSC Action Plan (1992) – Not Threatened. IUCN 2003 – Lower Risk (lc).,"<b><i>seimundi</i> </b> Kloss, 1921.",,38,38-00030,38-0001-0000-0000-0000-0002-0000-0000-0029-0000-0030
13800031,CHIROPTERA,,,,Pteropodidae,,,Balionycteris,,maculata,maculata,SUBSPECIES,FALSE,,YES,Thomas,1893,,"Ann. Mag. Nat. Hist., ser. 6",11,,341,,,,"Malaysia (N Borneo), Sarawak.",,,<b><i>&nbsp;</i> </b>,,38,38-00031,38-0001-0000-0000-0000-0002-0000-0000-0029-0000-0030-0031
13800032,CHIROPTERA,,,,Pteropodidae,,,Balionycteris,,maculata,seimundi,SUBSPECIES,FALSE,,YES,Kloss,1921,,,,,,,,,,,,,,38,38-00032,38-0001-0000-0000-0000-0002-0000-0000-0029-0000-0030-0032
13800033,CHIROPTERA,,,,Pteropodidae,,,Casinycteris,,,,GENUS,FALSE,,YES,Thomas,1910,,"Ann. Mag. Nat. Hist., ser. 8",6,,111,,"<i>Casinycteris argynnis</i> Thomas, 1910.",,,,,,,38,38-00033,38-0001-0000-0000-0000-0002-0000-0000-0033
13800034,CHIROPTERA,,,,Pteropodidae,,,Casinycteris,,argynnis,,SPECIES,FALSE,,YES,Thomas,1910,,"Ann. Mag. Nat. Hist., ser. 8",6,,111,,,Golden Short-palated Fruit Bat,"Cameroon, Ja River, Bitye.",Cameroon to E Dem. Rep. Congo.,IUCN/SSC Action Plan (1992) – No Data: Limited Distribution. IUCN 2003 – Lower Risk (nt).,,Reviewed by Bergmans (1990).,38,38-00034,38-0001-0000-0000-0000-0002-0000-0000-0033-0000-0034
13800035,CHIROPTERA,,,,Pteropodidae,,,Chironax,,,,GENUS,FALSE,,YES,K. Andersen,1912,,"Cat. Chiroptera Brit. Mus., 2nd ed.",,,658,,"<i>Pteropus melanocephalus</i> Temminck, 1825.",,,,,,,38,38-00035,38-0001-0000-0000-0000-0002-0000-0000-0035
13800036,CHIROPTERA,,,,Pteropodidae,,,Chironax,,melanocephalus,,SPECIES,FALSE,,YES,Temminck,1825,,Monogr. Mamm.,1,,190,,,Black-capped Fruit Bat,"Indonesia, W Java, Bantam, Gunung Karang (restricted by Bergmans and Rozendaal, 1988).","Thailand, W Malaysia, Borneo, Sumatra, Java, Nias Isl, and Sulawesi.",IUCN/SSC Action Plan (1992) – Not Threatened. IUCN 2003 – Lower Risk (lc).,"<b><i>tumulus</i> </b> Bergmans and Rozendaal, 1988.",Reviewed by Hill (1983) and Bergmans and Rozendaal (1988).,38,38-00036,38-0001-0000-0000-0000-0002-0000-0000-0035-0000-0036
13800037,CHIROPTERA,,,,Pteropodidae,,,Chironax,,melanocephalus,melanocephalus,SUBSPECIES,FALSE,,YES,Temminck,1825,,Monogr. Mamm.,1,,190,,,,"Indonesia, W Java, Bantam, Gunung Karang (restricted by Bergmans and Rozendaal, 1988).",,,<b><i>&nbsp;</i> </b>,,38,38-00037,38-0001-0000-0000-0000-0002-0000-0000-0035-0000-0036-0037
13800038,CHIROPTERA,,,,Pteropodidae,,,Chironax,,melanocephalus,tumulus,SUBSPECIES,FALSE,,YES,Bergmans and Rozendaal,1988,,,,,,,,,,,,,,38,38-00038,38-0001-0000-0000-0000-0002-0000-0000-0035-0000-0036-0038
13800039,CHIROPTERA,,,,Pteropodidae,,,Cynopterus,,,,GENUS,FALSE,,YES,F. Cuvier,1824,,Dentes des Mammifères,,,248,,"<i>Pteropus marginatus</i> E. Geoffroy, 1810 (= <i>Vespertilio sphinx</i> Vahl, 1797).",,,,,"<i>Niadius</i>  Miller, 1906; <i>Pachysoma</i> Geoffroy, 1828 [not <i>Pachysoma</i> Macleay, 1821, an insect].",Genetic variation within the genus was discussed by Peterson and Heaney (1993) and Schmitt et al. (1995).,38,38-00039,38-0001-0000-0000-0000-0002-0000-0000-0039
13800040,CHIROPTERA,,,,Pteropodidae,,,Cynopterus,,brachyotis,,SPECIES,FALSE,,YES,Müller,1838,,Tijdschr. Nat. Gesch. Physiol.,5,,146,,,Lesser Short-nosed Fruit Bat,"Borneo, Dewei (= Dewai) River.","Sri Lanka, India, Nepal, Burma, Thailand, Cambodia, Vietnam, S China, Malaysia, Nicobar and Andaman Isls, Borneo, Sumatra, Sulawesi, Magnole, Sanana, Sangihe Isls, Talaud Isls and adjacent small islands. Perhaps present in the Palawan region of the Philippines (L. Heaney, pers. comm.)",IUCN/SSC Action Plan (1992) – Not Threatened. IUCN 2003 – Lower Risk (lc).,"<i>brevicaudatum</i>  I. Geoffroy, 1828 [<i>nomen nudum</i>]; <i>duvaucelii</i> E. Geoffroy, 1828 [<i>nomen nudum</i>]; <i>grandidieri</i> Peters, 1869; <i>minor</i> Revilliod, 1911 [not Trousseart or Lyon]; <i>montanoi</i> Robin, 1881; <i>titthaecheilum</i> Waterhouse, 1843 [not Temminck; <i>nomen dubium</i>]; <b><i>altitudinis</i></b> Hill, 1961; <b><i>brachysoma</i></b> Dobson, 1871; <i>andamanensis</i> Dobson, 1873; <b><i>ceylonensis</i></b> Gray, 1871; <b><i>concolor</i></b> Sody, 1940; <b><i>hoffeti</i></b> Bourret, 1944; <b><i>insularum</i></b> K. Andersen, 1910;<b><i> javanicus</i></b> K. Andersen, 1910.","This taxon is sometimes confused with <i>sphinx,</i> and the status of many populations is in doubt. Does not include <i>angulatus</i>, which was transferred to <i>sphinx</i> by Hill and Thonglongya (1972). Includes <i>minor</i>; see Hill (1983) and Corbet and Hill (1992). Does not include <i>luzoniensis</i> and <i>minutus</i>; see Kitchener and Maharadatunkamsi (1991). May include <i>scherzeri</i>, here included in <i>sphinx</i> following Kitchener and Maharadatunkamsi (1991) and Bates and Harrison (1997). Bates and Harrison (1997) also referred <i>brachysoma</i> and <i>andamanesis</i> to <i>sphinx</i> with some reservations. See Andersen (1912) for discussion of <i>duvaucelii</i> and <i>grandidieri</i>. Corbet and Hill (1992) included <i>babi</i> (here considered a subspecies of <i>sphinx</i>) in this species without comment. See discussion of diagnostic characters in Bates and Harrison (1997) and Mapatuna et al. (2002).",38,38-00040,38-0001-0000-0000-0000-0002-0000-0000-0039-0000-0040
13800041,CHIROPTERA,,,,Pteropodidae,,,Cynopterus,,brachyotis,brachyotis,SUBSPECIES,FALSE,,YES,Müller,1838,,Tijdschr. Nat. Gesch. Physiol.,5,,146,,,,"Borneo, Dewei (= Dewai) River.",,,,,38,38-00041,38-0001-0000-0000-0000-0002-0000-0000-0039-0000-0040-0041
13800042,CHIROPTERA,,,,Pteropodidae,,,Cynopterus,,brachyotis,altitudinis,SUBSPECIES,FALSE,,YES,Hill,1961,,,,,,,,,,,,,,38,38-00042,38-0001-0000-0000-0000-0002-0000-0000-0039-0000-0040-0042
13800043,CHIROPTERA,,,,Pteropodidae,,,Cynopterus,,brachyotis,brachysoma,SUBSPECIES,FALSE,,YES,Dobson,1871,,,,,,,,,,,,,,38,38-00043,38-0001-0000-0000-0000-0002-0000-0000-0039-0000-0040-0043
13800044,CHIROPTERA,,,,Pteropodidae,,,Cynopterus,,brachyotis,ceylonensis,SUBSPECIES,FALSE,,YES,Gray,1871,,,,,,,,,,,,,,38,38-00044,38-0001-0000-0000-0000-0002-0000-0000-0039-0000-0040-0044
13800045,CHIROPTERA,,,,Pteropodidae,,,Cynopterus,,brachyotis,concolor,SUBSPECIES,FALSE,,YES,Sody,1940,,,,,,,,,,,,,,38,38-00045,38-0001-0000-0000-0000-0002-0000-0000-0039-0000-0040-0045
13800046,CHIROPTERA,,,,Pteropodidae,,,Cynopterus,,brachyotis,hoffeti,SUBSPECIES,FALSE,,YES,Bourret,1944,,,,,,,,,,,,,,38,38-00046,38-0001-0000-0000-0000-0002-0000-0000-0039-0000-0040-0046
13800047,CHIROPTERA,,,,Pteropodidae,,,Cynopterus,,brachyotis,insularum,SUBSPECIES,FALSE,,YES,K. Andersen,1910,,,,,,,,,,,,,,38,38-00047,38-0001-0000-0000-0000-0002-0000-0000-0039-0000-0040-0047
13800048,CHIROPTERA,,,,Pteropodidae,,,Cynopterus,,brachyotis,javanicus,SUBSPECIES,FALSE,,YES,K. Andersen,1910,,,,,,,,,,,,,,38,38-00048,38-0001-0000-0000-0000-0002-0000-0000-0039-0000-0040-0048
13800049,CHIROPTERA,,,,Pteropodidae,,,Cynopterus,,horsfieldii,,SPECIES,FALSE,,YES,Gray,1843,,List Specimens Mamm. Coll. Brit. Mus.,,,38,,,Horsfield’s Fruit Bat,"Indonesia, Java.","Thailand, Cambodia, W Malaysia, Borneo, Java, Sumatra, Lesser Sunda Isls, and adjacent small islands.",IUCN/SSC Action Plan (1992) – Not Threatened. IUCN 2003 – Lower Risk (lc).,"<b><i>harpax</i> </b> Thomas and Wroughton, 1909; <i>lyoni</i> K. Andersen, 1912; <i>minor</i> Lyon, 1908 [not Trouessart, 1878]; <b><i>persimilis</i></b> K. Andersen, 1912; <b><i>princeps</i></b> Miller, 1906.",Includes <i>harpax</i>; see Hill (1961<i>a</i>). This name is sometimes spelled <i>horsefieldi</i>.,38,38-00049,38-0001-0000-0000-0000-0002-0000-0000-0039-0000-0049
13800050,CHIROPTERA,,,,Pteropodidae,,,Cynopterus,,horsfieldii,horsfieldii,SUBSPECIES,FALSE,,YES,Gray,1843,,List Specimens Mamm. Coll. Brit. Mus.,,,38,,,,"Indonesia, Java.",,,<b><i>&nbsp;</i> </b>,,38,38-00050,38-0001-0000-0000-0000-0002-0000-0000-0039-0000-0049-0050
13800051,CHIROPTERA,,,,Pteropodidae,,,Cynopterus,,horsfieldii,harpax,SUBSPECIES,FALSE,,YES,Thomas and Wroughton,1909,,,,,,,,,,,,,,38,38-00051,38-0001-0000-0000-0000-0002-0000-0000-0039-0000-0049-0051
13800052,CHIROPTERA,,,,Pteropodidae,,,Cynopterus,,horsfieldii,persimilis,SUBSPECIES,FALSE,,YES,K. Andersen,1912,,,,,,,,,,,,,,38,38-00052,38-0001-0000-0000-0000-0002-0000-0000-0039-0000-0049-0052
13800053,CHIROPTERA,,,,Pteropodidae,,,Cynopterus,,horsfieldii,princeps,SUBSPECIES,FALSE,,YES,Miller,1906,,,,,,,,,,,,,,38,38-00053,38-0001-0000-0000-0000-0002-0000-0000-0039-0000-0049-0053
13800054,CHIROPTERA,,,,Pteropodidae,,,Cynopterus,,luzoniensis,,SPECIES,FALSE,,YES,Peters,1861,,Monatsb. K. Preuss. Akad. Wiss.,1861,,708,,,Peters’s Fruit Bat,"Philippines, Luzon, S Camarines, Iriga.","Sulawesi, Philippines, and adjacent small islands.",Not evaluated in IUCN/SSC Action Plan (1992). IUCN 2003 – not evaluated.,"<i>archipelagus</i>  Taylor, 1934; <i>cumingii</i> Gray, 1871; <i>philippensis</i> Gray, 1871.","Included in <i>brachyotis</i> by many authors, but see Kitchener and Maharadatunkamsi (1991) and Schmitt et al. (1995). Heaney et al. (1987) placed <i>archipelagus</i> (known only from the juvenile holotype) in <i>brachyotis</i>, but see Kitchner and Maharadatunkamsi (1991). Specimens of <i>luzoniensis</i> from the Palawan region of the Philippines may actually represent <i>brachyotis</i> as used herein (L. Heaney, pers. comm.).",38,38-00054,38-0001-0000-0000-0000-0002-0000-0000-0039-0000-0054
13800055,CHIROPTERA,,,,Pteropodidae,,,Cynopterus,,minutus,,SPECIES,FALSE,,YES,Miller,1906,,Proc. Biol. Soc. Wash.,19,,63,,,Minute Fruit Bat,"Sumatra, Nias Isl.","Sumatra, Java, Borneo, Sulawesi.",IUCN/SSC Action Plan (1992) – No Data: Limited Distribution as <i>C</i>. <i>brachyotis</i> <i>minutus</i>. IUCN 2003 – Not listed.,,"Included in <i>brachyotis</i> by Hill (1983) and Koopman (1993, 1994), but see Kitchener and Maharadatunkamsi (1991).",38,38-00055,38-0001-0000-0000-0000-0002-0000-0000-0039-0000-0055
13800056,CHIROPTERA,,,,Pteropodidae,,,Cynopterus,,nusatenggara,,SPECIES,FALSE,,YES,Kitchener and Maharadatunkamsi,1991,,Rec. West. Aust. Mus.,15,,312,,,Nusatenggara Short-nosed Fruit Bat,"Indonesia, Lesser Sunda Isls, W Sumbawa, Jerewah, Desa Belo (8°52'S, 116°50'E), ca 40 m.","Lombok, Moyo, Sumbawa, Sangeang, Komodo, Flores, Sumba, Adonara, Lembata, Pantar, Alor, and Wetar Isls (Indonesia).",Described after completion of IUCN/SSC Action Plan (1992). IUCN 2003 – Lower Risk (nt).,"<b><i>sinagai</i> </b> Kitchener, 1996 [in Kitchener and Maharadatunkamsi, 1996]; <b><i>wetarensis</i></b> Kitchener, 1996 [in Kitchener and Maharadatunkamsi, 1996].","Specimens of this species were tentatively included in <i>brachyotis</i> by Corbet and Hill (1992), but see Schmitt et al. (1995) and Kitchener and Maharadatunkamsi (1996).",38,38-00056,38-0001-0000-0000-0000-0002-0000-0000-0039-0000-0056
13800057,CHIROPTERA,,,,Pteropodidae,,,Cynopterus,,nusatenggara,nusatenggara,SUBSPECIES,FALSE,,YES,Kitchener and Maharadatunkamsi,1991,,Rec. West. Aust. Mus.,15,,312,,,,"Indonesia, Lesser Sunda Isls, W Sumbawa, Jerewah, Desa Belo (8°52'S, 116°50'E), ca 40 m.",,,<b><i>&nbsp;</i> </b>,,38,38-00057,38-0001-0000-0000-0000-0002-0000-0000-0039-0000-0056-0057
