"","species","filo_samps","hnv_samps","total_samps","filo_positive","hnv_positive","positive","search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches","surveyed","region","tree_species","filo_surv","hnv_surv","both_surv"
"438","micronycteris brosseti",0,0,0,NA,NA,NA,"micronycteris brosseti","Micronycteris_brosseti",FALSE,"989361",FALSE,"SIBLING_HIGHER","1",0,"LA","Micronycteris_brosseti",NA,NA,NA
"440","micronycteris homezi",0,0,0,NA,NA,NA,"micronycteris homezi","Micronycteris_homezi",FALSE,"596437",FALSE,"SIBLING_HIGHER","2",0,"LA","Micronycteris_homezi",NA,NA,NA
"441","micronycteris matses",0,0,0,NA,NA,NA,"micronycteris matses","Micronycteris_matses",FALSE,"456416",FALSE,"SIBLING_HIGHER","1",0,"LA","Micronycteris_matses",NA,NA,NA
"442","micronycteris megalotis",0,0,0,NA,NA,NA,"micronycteris megalotis","Micronycteris_megalotis",FALSE,"218140",FALSE,"SIBLING_HIGHER","1",0,"LA","Micronycteris_megalotis",NA,NA,NA
"444","micronycteris minuta",0,0,0,NA,NA,NA,"micronycteris minuta","Micronycteris_minuta",FALSE,"218139",FALSE,"SIBLING_HIGHER","1",0,"LA","Micronycteris_minuta",NA,NA,NA
"445","micronycteris sanborni",0,0,0,NA,NA,NA,"micronycteris sanborni","Micronycteris_sanborni",FALSE,"3613581",FALSE,"SIBLING_HIGHER","1",0,"LA","Micronycteris_sanborni",NA,NA,NA
"446","micronycteris schmidtorum",0,0,0,NA,NA,NA,"micronycteris schmidtorum","Micronycteris_schmidtorum",FALSE,"218135",FALSE,"SIBLING_HIGHER","1",0,"LA","Micronycteris_schmidtorum",NA,NA,NA
"447","micropteropus intermedius",0,0,0,NA,NA,NA,"micropteropus intermedius","Micropteropus_intermedius",FALSE,"3613512",FALSE,"","1",0,"Africa","Micropteropus_intermedius",NA,NA,NA
"449","mimetillus moloneyi",0,0,0,NA,NA,NA,"mimetillus moloneyi","Mimetillus_moloneyi",FALSE,"3614209",FALSE,"","1",0,"Africa","Mimetillus_moloneyi",NA,NA,NA
"450","mimon bennettii",0,0,0,NA,NA,NA,"mimon bennettii","Mimon_bennettii",FALSE,"780064",FALSE,"","1",0,"LA","Mimon_bennettii",NA,NA,NA
"451","mimon cozumelae",0,0,0,NA,NA,NA,"mimon cozumelae","Mimon_cozumelae",FALSE,"860220",FALSE,"","1",0,"LA","Mimon_cozumelae",NA,NA,NA
"453","mimon koepckeae",0,0,0,NA,NA,NA,"mimon koepckeae","Mimon_koepckeae",FALSE,"3613579",FALSE,"","1",0,"LA","Mimon_koepckeae",NA,NA,NA
"454","miniopterus africanus",0,0,0,NA,NA,NA,"miniopterus africanus","Miniopterus_africanus",FALSE,"996932",FALSE,"","1",0,"Africa","Miniopterus_africanus",NA,NA,NA
"456","miniopterus fraterculus",0,0,0,NA,NA,NA,"miniopterus fraterculus","Miniopterus_fraterculus",FALSE,"61862",FALSE,"","1",0,"Africa","Miniopterus_fraterculus",NA,NA,NA
"458","miniopterus gleni",0,0,0,NA,NA,NA,"miniopterus gleni","Miniopterus_gleni",FALSE,"350062",FALSE,"","1",0,"Africa","Miniopterus_gleni",NA,NA,NA
"460","miniopterus macrocneme",0,0,0,NA,NA,NA,"miniopterus macrocneme","Miniopterus_macrocneme",FALSE,"18885",FALSE,"","1",0,"Oceania","Miniopterus_macrocneme",NA,NA,NA
"462","miniopterus majori",0,0,0,NA,NA,NA,"miniopterus majori","Miniopterus_majori",FALSE,"350060",FALSE,"","1",0,"Africa","Miniopterus_majori",NA,NA,NA
"463","miniopterus manavi",0,0,0,NA,NA,NA,"miniopterus manavi","Miniopterus_manavi",FALSE,"18883",FALSE,"","1",0,"Africa","Miniopterus_manavi",NA,NA,NA
"464","miniopterus medius",0,0,0,NA,NA,NA,"miniopterus medius","Miniopterus_medius",FALSE,"598189",FALSE,"","1",0,"Asia","Miniopterus_medius",NA,NA,NA
"466","miniopterus natalensis",0,0,0,NA,NA,NA,"miniopterus natalensis","Miniopterus_natalensis",FALSE,"18887",FALSE,"","1",0,"Africa","Miniopterus_natalensis",NA,NA,NA
"467","miniopterus paululus",0,0,0,NA,NA,NA,"miniopterus paululus","Miniopterus_paululus",FALSE,"3613702",FALSE,"","1",0,"Asia","Miniopterus_paululus",NA,NA,NA
"469","miniopterus robustior",0,0,0,NA,NA,NA,"miniopterus robustior","Miniopterus_robustior",FALSE,"3613704",FALSE,"","1",0,"Oceania","Miniopterus_robustior",NA,NA,NA
"471","miniopterus shortridgei",0,0,0,NA,NA,NA,"miniopterus shortridgei","Miniopterus_shortridgei",FALSE,"3613705",FALSE,"","1",0,"Asia","Miniopterus_shortridgei",NA,NA,NA
"473","molossops aequatorianus",0,0,0,NA,NA,NA,"molossops aequatorianus","Molossops_aequatorianus",FALSE,"3613956",FALSE,"","1",0,"LA","Molossops_aequatorianus",NA,NA,NA
"474","molossops mattogrossensis",0,0,0,NA,NA,NA,"molossops mattogrossensis","Molossops_mattogrossensis",FALSE,"132211",FALSE,"","1",0,"LA","Molossops_mattogrossensis",NA,NA,NA
"475","molossops neglectus",0,0,0,NA,NA,NA,"molossops neglectus","Molossops_neglectus",FALSE,"856222",FALSE,"","1",0,"LA","Molossops_neglectus",NA,NA,NA
"476","molossops temminckii",0,0,0,NA,NA,NA,"molossops temminckii","Molossops_temminckii",FALSE,"633522",FALSE,"","1",0,"LA","Molossops_temminckii",NA,NA,NA
"477","molossus aztecus",0,0,0,NA,NA,NA,"molossus aztecus","Molossus_aztecus",FALSE,"3614005",FALSE,"","1",0,"LA","Molossus_aztecus",NA,NA,NA
"478","molossus barnesi",0,0,0,NA,NA,NA,"molossus barnesi","Molossus_barnesi",FALSE,"3614006",FALSE,"","1",0,"LA","Molossus_barnesi",NA,NA,NA
"479","molossus coibensis",0,0,0,NA,NA,NA,"molossus coibensis","Molossus_coibensis",FALSE,"485768",FALSE,"","1",0,"LA","Molossus_coibensis",NA,NA,NA
"482","molossus pretiosus",0,0,0,NA,NA,NA,"molossus pretiosus","Molossus_pretiosus",FALSE,"3614002",FALSE,"","1",0,"LA","Molossus_pretiosus",NA,NA,NA
"484","molossus sinaloae",0,0,0,NA,NA,NA,"molossus sinaloae","Molossus_sinaloae",FALSE,"687490",FALSE,"","1",0,"LA","Molossus_sinaloae",NA,NA,NA
"485","monophyllus plethodon",0,0,0,NA,NA,NA,"monophyllus plethodon","Monophyllus_plethodon",FALSE,"227309",FALSE,"","1",0,"LA","Monophyllus_plethodon",NA,NA,NA
"486","monophyllus redmani",0,0,0,NA,NA,NA,"monophyllus redmani","Monophyllus_redmani",FALSE,"658352",FALSE,"","1",0,"LA","Monophyllus_redmani",NA,NA,NA
